AIMBU,8542000
AIMD,6503000
AIMDW,0
AIN,31200000
AINC,3431000
AIO,34341000
AIP,38479000
AIR,35427000
AIRC,4562683392
AIRG,10777000
AIRI,3325000
AIRS,57570000
AIRT,2822000
AIRTP,1089000
AIT,38603000
AIU,307897000
AIV,144827000
AIXI,0
AIZ,51986000
AIZN,10000000
AJG,218500000
AJRD,0
AJX,39564000
AJXA,0
AKA,10485000
AKAM,152317000
AKAN,1917000
AKBA,209596000
AKLI,0
AKO/A,0
AKO/B,0
AKR,103181000
AKRO,69151000
AKTS,109169000
AKTX,15847390000
AKU,0
AKYA,49386000
AL,111367000
ALAR,67826000
ALB,117527000
ALBT,10164000
ALC,494400000
ALCC,0
ALCO,7624000
ALCY,12096000
ALCYU,10000000
ALCYW,0
ALDX,59414000
ALE,57666000
ALEC,96385000
ALEX,72592000
ALG,12053000
ALGM,193748000
ALGN,75282000
ALGS,75018000
ALGT,18232000
ALHC,191198000
ALIM,52389000
ALIT,541046000
ALK,126892000
ALKS,169221000
ALKT,97515000
ALL,263915000
ALLE,87441000
ALLG,271011000
ALLK,88544000
ALLO,208784000
ALLR,17607000
ALLT,38442000
ALLY,303981000
ALL^B,0
ALL^H,0
ALL^I,0
ALL^J,0
ALNY,126492000
ALOR,0
ALORU,0
ALOT,7514000
ALPA,21040600
ALPAU,4615085
ALPAW,0
ALPN,8709900
ALPP,24651000
ALPS,0
ALRM,50189000
ALRN,21590000
ALRS,19777000
ALSA,8949000
ALSAW,0
ALSN,87478000
ALT,70902000
ALTG,33147000
ALTG^A,0
ALTI,71742000
ALTO,76629000
ALTR,56948000
ALTU,0
ALTUU,0
ALTUW,0
ALV,81375000
ALVO,302727000
ALVOW,0
ALVR,115003000
ALX,5107000
ALXO,52100000
ALYA,88255201
ALZN,7376000
AL^A,0
AM,481241000
AMAL,30524000
AMAM,0
AMAO,0
AMAT,827975000
AMBA,40985000
AMBC,45554000
AMBI,0
AMBO,52419000
AMBP,597635000
AMC,295588000
AMCR,1445343000
AMCX,32559000
AMD,1616314000
AME,231470000
AMED,32677000
AMEH,0
AMG,31864000
AMGN,536435000
AMH,365687000
AMH^G,0
AMH^H,0
AMK,74405000
AMKR,246170000
AMLI,217560000
AMLX,0
AMN,37997000
AMNB,0
AMOT,471500780
AMP,99325000
AMPE,1135000
AMPG,9717000
AMPGW,0
AMPH,48902000
AMPL,88471000
AMPS,159875000
AMPX,94473000
AMPY,39612000
AMR,182756000
AMRC,34339000
AMRK,22895000
AMRN,410869000
AMRS,0
AMRX,308651000
AMS,6330000
AMSC,36998000
AMSF,19135000
AMST,0
AMSWA,31399000
AMT,466975000
AMTB,33716000
AMTD,0
AMTI,0
AMTX,44398000
AMWD,15845000
AMWL,263517000
AMX,62185000000
AMZN,10406630000
AN,40267000
ANAB,27319000
ANDE,34050000
ANEB,25933000
ANET,313363000
ANF,51105000
ANGH,29710000
ANGHW,0
ANGI,79723000
ANGO,40055000
ANIK,14857000
ANIP,20962000
ANIX,32006000
ANNX,346583688
ANSS,87300000
ANTE,13108000
ANTX,29829000
ANVS,11171000
ANY,18305000
ANZU,0
ANZUU,0
ANZUW,0
AOD,105431000
